-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 11:57:19 UTC. --
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.936513 W | wal: sync duration of 1.511875732s, expected less than 1s
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.090503 W | etcdserver: request "header:<ID:14919135698849682890 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:31414649 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (340.348584ms) to execute
Oct 02 11:36:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:29.090634 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (300.022835ms) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.597387 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (140.590411ms) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.597754 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (678.322594ms) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.597906 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (491.60585ms) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.598068 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (205.458564ms) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.598089 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (1.392655198s) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.598221 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (489.368177ms) to execute
Oct 02 11:36:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:31.598257 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (1.338154093s) to execute
Oct 02 11:36:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:34.155890 W | etcdserver: request "header:<ID:14919135698849682944 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:31414659 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4301 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (181.418465ms) to execute
